# ID Naïve Ours Reduction
62a879989363fc9f281b40e2 4815 16 0.996677051
62a86d299363fc9f281ad467 5963 31 0.994801275
62a8a806e30161692b684027 14430 21 0.998544699
62a85b1ae30161692b665870 5039 29 0.99424489
62a8a383e30161692b681d14 6937 18 0.997405218
62a88fae9363fc9f281bfc87 5963 25 0.995807479
62a8aa09e30161692b684e0d 8078 23 0.997152761
62a898d9e30161692b67c8cc 5963 14 0.997652188
62a8900c9363fc9f281bfee4 8123 21 0.997414748
62a872679363fc9f281b074d 3535 13 0.996322489
62a8aaa1e30161692b6852de 5833 19 0.996742671
62a8b40ae30161692b68a181 5835 19 0.996743787
62a864459363fc9f281a78c7 5833 17 0.997085548
62a895b4e30161692b67b421 5833 17 0.997085548
62a87ced9363fc9f281b5c58 6890 16 0.997677794
62a89b2fe30161692b67dcdc 5833 19 0.996742671
62a897099363fc9f281c3c10 8459 16 0.998108523
62a896889363fc9f281c3633 8348 15 0.998203162
62a8b59fe30161692b68af36 7658 36 0.995299034
62a86c909363fc9f281acd9d 16272 27 0.998340708
62a8aed0e30161692b68787c 28735 26 0.99909518
62a889cbe30161692b676177 16772 15 0.999105652
62a87298e30161692b66e725 12551 30 0.997609752
62a866e5e30161692b66a72b 5173 20 0.996133772
62a8bfe7e30161692b68f3ba 5833 27 0.995371164
62a8805c9363fc9f281b799c 8423 17 0.997981717
62a888129363fc9f281bc097 4651 16 0.99655988
62a88356e30161692b673f18 5833 15 0.997428424
62a889239363fc9f281bc977 19985 38 0.998098574
62a875839363fc9f281b20e5 10655 25 0.997653684
62a8b6bbe30161692b68b7c2 8958 19 0.997878991
62a86a739363fc9f281ab722 5963 17 0.997149086
62a889f39363fc9f281bd1c0 18620 100 0.994629431
62a88eab9363fc9f281bf607 4863 13 0.997326753
62a8b6c8e30161692b68b820 8862 56 0.993680885
62a8b03de30161692b688347 5833 23 0.996056918
62a873989363fc9f281b118a 18352 38 0.997929381
62a852b1e30161692b6627a7 14479 16 0.998894951
62a85cd9e30161692b6661ce 9407 34 0.99638567
62a8b8cee30161692b68c3f2 6807 14 0.997943294
62a86c3e9363fc9f281ac9bf 4190 20 0.99522673
62a8a7b9e30161692b683df2 6937 14 0.997981837
62a93f2f1e89b3f4f2c0392d 57683 37 0.999358563
62a881999363fc9f281b8576 15308 76 0.995035276
62a87a0b9363fc9f281b4434 5963 18 0.996981385
62a871c99363fc9f281b01f7 8215 30 0.996348144
62a870699363fc9f281af476 12929 26 0.997989017
62a8b5e2e30161692b68b124 5833 21 0.996399794
62a88e229363fc9f281bf125 5833 17 0.997085548
62a8a4d9e30161692b682b31 30470 24 0.99921234
62a8be14e30161692b68e85e 4807 16 0.996671521
62a894399363fc9f281c1eb3 4781 15 0.996862581
62a86146e30161692b668616 8459 38 0.995507743
62a8bc47e30161692b68dd54 5963 16 0.997316787
62a87ff19363fc9f281b76b3 15953 45 0.997179214
62a89dcde30161692b67f323 5833 16 0.997256986
62a873e29363fc9f281b1405 9554 21 0.997801968
62a86ed29363fc9f281ae2dd 7934 22 0.997227124
62a8a877e30161692b684360 5963 17 0.997149086
62a89282e30161692b679934 7404 16 0.997839006
62a9440de4d30af0fb904ae6 11816 38 0.996784022
62a87049e30161692b66d9af 4651 16 0.99655988
62a86b21e30161692b66beb9 2827 13 0.995401486
62a870319363fc9f281af103 4375 13 0.997028571
62a866849363fc9f281a919f 5963 20 0.996645984
62a887499363fc9f281bb9f4 5963 19 0.996813684
62a865bf9363fc9f281a8a42 5833 29 0.995028287
62a85f99e30161692b667811 4597 15 0.996737002
62a86da49363fc9f281ad915 8459 16 0.998108523
62a86e6e9363fc9f281adf27 5963 15 0.997484488
62a893529363fc9f281c187e 3653 13 0.996441281
62a868d99363fc9f281aa9a6 14494 15 0.998965089
62a94a36e4d30af0fb908a2f 15368 85 0.994469027
62a8ac5de30161692b68625e 5833 17 0.997085548
62a892a6e30161692b679a8c 5833 14 0.997599863
62a8b559e30161692b68ac2c 10860 67 0.993830571
62a85828e30161692b6645cf 5833 17 0.997085548
62a86e949363fc9f281ae028 5963 21 0.996478283
62a940fa1e89b3f4f2c03b79 18772 26 0.998614958
62a898fce30161692b67c9e4 5833 21 0.996399794
62a8abf9e30161692b685f30 5963 17 0.997149086
62a8a175e30161692b680b99 12912 13 0.998993185
62a864949363fc9f281a7ca8 5963 19 0.996813684
62a897f9e30161692b67c2b5 5833 27 0.995371164
62a94adfe4d30af0fb9092b9 7288 73 0.989983535
62a85150e30161692b661f03 4398 16 0.996361983
62a898aa9363fc9f281c4937 16290 26 0.998403929
62a93a06e4d30af0fb901c62 16268 27 0.9983403
62a8bfb9e30161692b68f256 4948 20 0.995957963
62a8b404e30161692b68a13d 8352 19 0.997725096
62a944f9e4d30af0fb904fa8 14359 23 0.998398217
62a872d59363fc9f281b0b23 6711 25 0.996274773
62a88c99e30161692b677266 10131 37 0.996347843
62a86a959363fc9f281ab847 5833 14 0.997599863
62a8b8c1e30161692b68c3b4 19855 30 0.998489046
62a8a94ee30161692b684896 5963 18 0.996981385
62a8c315e30161692b6907c0 8105 15 0.998149291
62a870ac9363fc9f281af7da 8207 18 0.99780675
62a8670a9363fc9f281a96fa 8571 15 0.998249912
62a861979363fc9f281a5ba8 11881 46 0.996128272
62a89c2ce30161692b67e5bb 5833 17 0.997085548
62a86b4ee30161692b66bfaa 7576 15 0.998020063
62a86a8b9363fc9f281ab7ed 19740 104 0.99473151
62a8a3abe30161692b681ead 10459 24 0.997705326
62a8a8f7e30161692b684678 6937 16 0.997693527
62a8bcd8e30161692b68e189 5833 17 0.997085548
62a8591ae30161692b664b88 4706 15 0.99681258
62a877d2e30161692b670235 4940 17 0.996558704
62a8774de30161692b66fe9b 7558 30 0.996030696
62a8868de30161692b675132 5963 16 0.997316787
62a879bd9363fc9f281b41ce 20998 27 0.998714163
62a8731c9363fc9f281b0d76 5833 16 0.997256986
62a88ddf9363fc9f281bef00 10905 15 0.998624484
62a8897ae30161692b675fbb 7992 18 0.997747748
62a865789363fc9f281a877a 12849 21 0.998365632
62a8ad19e30161692b686914 5833 17 0.997085548
62a8a3f6e30161692b68216d 7003 22 0.996858489
62a8ab22e30161692b685702 5963 15 0.997484488
62a895b49363fc9f281c2cd6 8713 15 0.998278435
62a86459e30161692b669979 8088 15 0.998145401
62a8ae4ee30161692b68739d 5833 21 0.996399794
62a872ffe30161692b66e942 9554 20 0.997906636
62a89f02e30161692b67fbd9 6937 16 0.997693527
62a88a949363fc9f281bd6e6 8459 30 0.996453481
62a85d67e30161692b66667b 4706 18 0.996175096
62a8980d9363fc9f281c4488 5963 14 0.997652188
62a93f81e4d30af0fb903514 10157 14 0.99862164
62a93bade4d30af0fb9023e6 14165 31 0.997811507
62a86b33e30161692b66bf14 6960 17 0.997557471
62a946d4e4d30af0fb9060bd 7464 16 0.997856377
62a870069363fc9f281aee93 2923 8 0.997263086
62a87f6a9363fc9f281b72e9 9946 39 0.996078826
62a8afb8e30161692b687fb6 6505 13 0.998001537
62a89967e30161692b67cd8b 5963 19 0.996813684
62a8b42ae30161692b68a24e 10905 17 0.998441082
62a89874e30161692b67c5d4 5963 17 0.997149086
62a88efa9363fc9f281bf869 5963 19 0.996813684
62a88dd89363fc9f281beec6 7769 15 0.99806925
62a86dd39363fc9f281ada9e 9485 25 0.997364259
62a89b27e30161692b67dc9d 2802 13 0.995360457
62a93d24e4d30af0fb902aa4 8371 38 0.995460518
62a93a6be4d30af0fb901e3f 8037 17 0.997884783
62a86d5d9363fc9f281ad65e 8589 15 0.99825358
62a8a3d1e30161692b682039 6580 27 0.995896657
62a8c2b5e30161692b69052b 5833 17 0.997085548
62a8a565e30161692b682fb6 5963 17 0.997149086
62a890a19363fc9f281c02f8 4651 21 0.995484842
62a88227e30161692b6738f1 21143 27 0.998722982
62a86291e30161692b668fa5 4744 17 0.996416526
62a892b19363fc9f281c13b2 8051 15 0.998136877
62a88b739363fc9f281bdc9d 4651 14 0.996989895
62a896949363fc9f281c36a4 8185 25 0.996945632
62a886c59363fc9f281bb4f2 6264 14 0.997765006
62a85c8fe30161692b666045 8971 29 0.996767361
62a87ece9363fc9f281b6d91 8495 20 0.997645674
62a89cdee30161692b67eba6 6937 15 0.997837682
62a86e8c9363fc9f281adfe7 5963 15 0.997484488
62a86fc99363fc9f281aec29 5321 21 0.996053373
62a86d21e30161692b66c972 8332 26 0.996879501
62a879ca9363fc9f281b4222 11691 33 0.997177316
62a89184e30161692b679078 5963 14 0.997652188
62a857d0e30161692b6643e9 8480 52 0.993867925
62a93767e4d30af0fb90106c 15909 60 0.99622855
62a9472ee4d30af0fb9064eb 8082 14 0.998267756
62a890dce30161692b678aaa 4410 11 0.997505669
62a9474be4d30af0fb906693 14359 23 0.998398217
62a86c909363fc9f281acdc2 9206 21 0.997718879
62a85bf3e30161692b665d38 4706 17 0.99638759
62a87a6be30161692b670f33 8016 22 0.997255489
62a8844ce30161692b67445a 8535 16 0.998125366
62a863fd9363fc9f281a7489 3411 21 0.993843448
62a898c89363fc9f281c4a3c 8528 21 0.997537523
62a897139363fc9f281c3c88 8103 14 0.998272245
62a8839f9363fc9f281b9aac 15494 52 0.996643862
62a9482fe4d30af0fb906f92 8226 14 0.998298079
62a89a3ee30161692b67d415 15040 43 0.997140957
62a890ece30161692b678b1f 10871 22 0.997976267
62a8b2b2e30161692b6894a6 7795 18 0.997690827
62a87cab9363fc9f281b59bc 4292 15 0.996505126
62a864859363fc9f281a7bf8 9240 41 0.995562771
62a852b1e30161692b6627af 10318 23 0.997770886
62a93b13e4d30af0fb902123 15959 29 0.998182844
62a8b317e30161692b6897e6 21629 17 0.999214018
62a888039363fc9f281bc01f 8200 17 0.997926829
62a947b0e4d30af0fb9069b9 17051 48 0.997184916
62a890609363fc9f281c011d 4651 17 0.996344872
62a8803a9363fc9f281b788b 12118 14 0.998844694
62a8b26ae30161692b689291 5833 18 0.996914109
62a8aadde30161692b685509 7913 57 0.992796664
62a874df9363fc9f281b1c57 19445 26 0.998662895
62a891cde30161692b679294 5963 17 0.997149086
62a8b3e5e30161692b68a00c 8222 20 0.997567502
62a862df9363fc9f281a684a 9240 39 0.995779221
62a87e459363fc9f281b68df 18121 28 0.998454831
62a88c339363fc9f281be1bd 9692 28 0.997111019
62a89d51e30161692b67ef11 5963 19 0.996813684
62a874689363fc9f281b18c7 7707 15 0.998053717
62a88213e30161692b673870 9481 19 0.997995992
62a87b40e30161692b6712ea 8033 13 0.998381676
62a85608e30161692b663a6f 7768 71 0.990859938
