1	274
2	426
3	518
4	594
5	690
6	746
7	800
8	831
9	859
10	892
11	926
12	921
13	968
14	992
15	1003
16	1032
17	1038
18	1065
19	1061
20	1098
21	1112
22	1115
23	1139
24	1132
25	1139
26	1158
27	1170
28	1171
29	1191
30	1196
31	1197
32	1189
33	1226
34	1229
35	1241
36	1229
37	1255
38	1248
39	1254
40	1261
41	1250
42	1274
43	1273
44	1274
45	1271
46	1292
47	1277
48	1290
49	1285
50	1301
51	1309
52	1307
53	1298
54	1317
55	1316
56	1320
57	1309
58	1323
59	1330
60	1321
61	1332
62	1331
63	1331
64	1332
65	1344
66	1335
67	1341
68	1342
69	1334
70	1343
71	1343
72	1344
73	1343
74	1347
75	1348
76	1343
77	1353
78	1359
79	1351
80	1354
81	1355
82	1355
83	1356
84	1360
85	1361
86	1359
87	1358
88	1359
89	1362
90	1365
91	1367
92	1360
93	1366
94	1365
95	1367
96	1367
97	1367
98	1370
99	1370
100	1370
